	final_prompt
0	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या.
Marathi human reference: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या .

Score: <end_of_turn><start_of_turn>model
"
1	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: पंतप्रधान म्हणाले, तुमचा व्यवसाय असा आहे जिथे अनपेक्षित गोष्टींचा सामना करण्याची क्षमता खूप जास्त आहे आणि यासाठी आपण सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे.
Marathi human reference: पंतप्रधान म्हणाले , तुमचा व्यवसाय क्षेत्र असे आहे की जिथे अनपेक्षित गोष्टींचा सामना करण्याची शक्यता खूप जास्त आहे आणि यासाठी तुम्ही सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे .

Score: <end_of_turn><start_of_turn>model
"
2	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती.
Marathi human reference: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती .

Score: <end_of_turn><start_of_turn>model
"
3	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: मुख्य वाचनालय नवीन इमारतीत, पहिल्या मजल्यावर पुस्तके आणि नियतकालिके आणि हस्तलिखितांसाठी आहे.
Marathi human reference: मुख्य वाचनालय नवीन इमारतीत असून , पहिला मजला पुस्तके आणि नियतकालिके यांच्यासाठी आणि दुसरा मजला हा हस्तलिखितांसाठी आहे .

Score: <end_of_turn><start_of_turn>model
"
4	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: राजा आणि शासकांच्या प्रोत्साहनाखाली, कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले.
Marathi human reference: राजा आणि शासकांच्या प्रोत्साहनाखाली , कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले .

Score: <end_of_turn><start_of_turn>model
"
5	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल, जसे की ल्युपस.
Marathi human reference: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल , जसेकी ल्युपस .

Score: <end_of_turn><start_of_turn>model
"
6	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या समोर आहेत, ज्यांनी धोती आणि बूट घातले आहेत.
Marathi human reference: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या बाजूला आहेत , ज्यांनी धोती आणि बूट घातले आहेत .

Score: <end_of_turn><start_of_turn>model
"
7	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: जर विद्यार्थी कुशल व्यावसायिकांना पाहत असतील तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल, ते कौशल्य समजून घेतील आणि त्यांचा आदर करतील.
Marathi human reference: जर विद्यार्थ्यांना कुशल व्यावसायिकांना बघता आले तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल , ते कौशल्य आत्मसात करतील आणि त्यांचा आदर करतील .

Score: <end_of_turn><start_of_turn>model
"
8	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका.
Marathi human reference: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका .

Score: <end_of_turn><start_of_turn>model
"
9	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: रॉन्झा हे लाकूड, चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे.
Marathi human reference: रौन्झा हे लाकूड , चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे .

Score: <end_of_turn><start_of_turn>model
"
10	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: देशाच्या सीमेवर असो, आकाशात असो किंवा समुद्रात असो, बर्फाच्या शिखरावर असो किंवा घनदाट जंगलात असो, देशाचे रक्षण करणाऱ्या, आपले जवान, आपले जवान, आपले जवान, आपले जवान, आपले जवान, आपले जवान, आपले जवान, आपले जवान, आपले जवान, या सर्व शूर सुपुतण्यांना मी दिवाळीच्या या पवित्र सणानिमित्त वंदन करतो.
Marathi human reference: देशाच्या सीमेवर असो , आकाशात असो किंवा समुद्रात असो , बर्फाच्या शिखरावर असो किंवा घनदाट जंगलात असो , देशाचे रक्षण करणारे , आपले जवान , , या सर्व शूर सुपुत्रांना आमचे BSF , ITBP , CISF , सुरक्षा दल व पोलिस कर्मचारी यांना मी दिवाळीच्या या पवित्र सणानिमित्त वंदन करतो .

Score: <end_of_turn><start_of_turn>model
"
11	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: केळीचे फूल कापून त्यात थोडे मॅश केलेले बटाटे मिसळून त्यावर मसालेदार ब्रेडक्रम्ब्स लावून तळून घेतले जातात.
Marathi human reference: केळीचे फूल कापून त्यात थोडे मॅश केलेले बटाटे मिसळून त्यावर मसालेदार ब्रेडक्रम्ब्स लावून तळून घेतले जातात .

Score: <end_of_turn><start_of_turn>model
"
12	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: अट्रियल फायब्रिलेशनमध्ये, हृदयाच्या वरच्या चेंबर्स (अट्रिया) अनियमित आणि कधीकधी इतक्या वेगाने संकुचित होतात की हृदयाचे स्नायू संकुचन दरम्यान व्यवस्थित आराम करू शकत नाहीत.
Marathi human reference: अट्रियल फायब्रिलेशनमध्ये , हृदयाच्या वरच्या चेंबर्स ( अट्रिया ) अनियमित आणि कधीकधी इतक्या वेगाने संकुचित होतात की हृदयाचे स्नायू संकुचन दरम्यान व्यवस्थित आराम करू शकत नाहीत .

Score: <end_of_turn><start_of_turn>model
"
13	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: १९८७ साली युनेस्कोने जागतिक वारसा म्हणून घोषित केलेल्या चोळ मंदिरांच्या गटातील हे एक मंदिर आहे.
Marathi human reference: १९८७ साली युनेस्कोने जागतिक वारसा म्हणून घोषित केलेल्या चोल मंदिरांच्या गटातील हे एक मंदिर आहे .

Score: <end_of_turn><start_of_turn>model
"
14	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: मात्र जेव्हा ती देवाची पूजा करायची तेव्हा तिच्या मंदिरात भारतमातेचे चित्र असायचे.
Marathi human reference: मात्र जेव्हा त्या देवाची पूजा करायच्या तेव्हा त्यांच्या मंदिरात भारतमातेचे चित्र असायचे .

Score: <end_of_turn><start_of_turn>model
"
15	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: परंतु दिवसा (संध्याकाळी 4 नंतर) किंवा रात्री उशिरा फ्युरोसेमाईड घेऊ नका, अन्यथा तुम्हाला शौचालयात जाण्यासाठी जागे व्हावे लागेल.
Marathi human reference: परंतु दिवसा ( संध्याकाळी ४ नंतर ) किंवा रात्री उशिरा फ्युरोसेमाईड घेऊ नका , अन्यथा तुम्हाला शौचालयात जाण्यासाठी जागे व्हावे लागेल .

Score: <end_of_turn><start_of_turn>model
"
16	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: भारतीय कृषी संशोधन परिषदेच्या (आयसीएआर) नेतृत्वाखाली राष्ट्रीय कृषी संशोधन प्रणालीने गेल्या पाच वर्षात अशा 53 जाती विकसित केल्या आहेत.
Marathi human reference: भारतीय कृषी संशोधन परिषदेच्या ( आयसीएआर ) नेतृत्वाखाली राष्ट्रीय कृषी संशोधन प्रणालीने गेल्या पाच वर्षांत अशा ५३ जाती विकसित केल्या आहेत .

Score: <end_of_turn><start_of_turn>model
"
17	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: 2007-08 मध्ये ई-गव्हर्नन्सच्या राष्ट्रीय पुरस्कारांमध्ये ई-फायलिंग प्रकल्पाला रौप्यपदक मिळाले होते.
Marathi human reference: २००७ - ०८ मध्ये ई - गव्हर्नन्सवरील राष्ट्रीय पुरस्कारांमध्ये प्राप्तिकर विवरण प्रकल्पाच्या ई - फायलिंगने यापूर्वीच रौप्य पुरस्कार जिंकला होता .

Score: <end_of_turn><start_of_turn>model
"
18	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: सिझेरियन ही अत्यंत सुरक्षित प्रक्रिया आहे, मात्र कोणत्याही प्रकारच्या शस्त्रक्रियेप्रमाणेच त्यात काही प्रमाणात जोखीम असते.
Marathi human reference: सिझेरियन ही अत्यंत सुरक्षित प्रक्रिया आहे , मात्र कोणत्याही प्रकारच्या शस्त्रक्रियेप्रमाणेच त्यात काही प्रमाणात जोखीम असते .

Score: <end_of_turn><start_of_turn>model
"
19	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: या संग्रहात शरतचंद्र चट्टोपाध्याय, विभूति भूषण बंडोपाध्याय, जीबनानंद दास आणि बिस्नू डे यांच्या हस्तलिखितासारख्या अनेक दुर्मिळ वस्तू आहेत.
Marathi human reference: या संग्रहात शरतचंद्र चट्टोपाध्याय , विभूति भूषण बंडोपाध्याय , जीबनानंद दास आणि बिस्नू डे यांच्या हस्तलिखितांसारख्या अनेक दुर्मिळ वस्तू या संग्रहात आहेत .

Score: <end_of_turn><start_of_turn>model
"
20	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: आपल्या समाजातील विद्वान आणि महत्वाकांक्षी लोकांच्या गरजा पूर्ण करण्यासाठी दुर्मिळ पुस्तकांचा डिजिटल संग्रह देखील तयार करण्यात आला आहे.
Marathi human reference: आपल्या समाजातील विद्वान आणि महत्वाकांक्षी लोकांच्या गरजा पूर्ण करण्यासाठी दुर्मिळ पुस्तकांचा डिजिटल संग्रहदेखील तयार करण्यात आला आहे .

Score: <end_of_turn><start_of_turn>model
"
21	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: औषध देण्यापूर्वी तुमचे डॉक्टर तुमचे वय आणि लिंग, तुम्ही आधीच घेत असलेली औषधे आणि इतर आरोग्याच्या समस्या देखील विचारात घेतील.
Marathi human reference: औषध देण्यापूर्वी तुमचे डॉक्टर तुमचे वय आणि लिंग , तुम्ही आधीच घेत असलेली औषधे आणि इतर आरोग्याच्या समस्या देखील विचारात घेतील .

Score: <end_of_turn><start_of_turn>model
"
22	"<start_of_turn>user
Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Marathi translation: एकदा आत शिरल्यावर, चालताना जास्तीत जास्त वापरा कारण यामुळे तुम्हाला अधिक कार्यक्षमतेने चालण्यास आणि तुम्हाला स्थिर ठेवण्यास मदत होईल.
Marathi human reference: एकदा आत शिरल्यावर , चालताना जास्तीत जास्त वापरा कारण यामुळे तुम्हाला अधिक कार्यक्षमतेने चालण्यास आणि तुम्हाला स्थिर ठेवण्यास मदत होईल .

Score: <end_of_turn><start_of_turn>model
"
