	final_prompt
0	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Jerry York, 71, American businessman, Executive Director of Apple Inc., cerebral hemorrhage.
Chinese human reference: 71岁的杰瑞·约克,美国商人,苹果公司执行董事,脑出血.
Chinese translation: 71 岁的杰瑞 · 约克, 美国商人, 苹果公司执行董事, 脑出血.
Error words: 
Score: <end_of_turn><start_of_turn>model
"
1	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: On 7 September Necker forbade the export of grain.
Chinese human reference: 9月7日，内克（Necker）禁止谷物的出口。
Chinese translation: 9 月 7 日 ， 内克禁止粮食出口。
Error words: 禁止, 粮食
Score: <end_of_turn><start_of_turn>model
"
2	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Ruler of Italy since 493, Theoderic became king of the Visigoths in 511 and exerted hegemony over the Vandals in North Africa between 521 and 523.
Chinese human reference: Theoderic自493年起成为意大利的统治者，于511年成为西哥特人的国王，并在521年至523年之间霸占了北非的Vandals。
Chinese translation: 自 493 年以来 ， 意大利统治者西奥德里克于 511 年成为维希戈特人的国王 ， 并在 521 年至 523 年期间对北非的破坏者实行霸权。
Error words: 自, 以来, ，, 统治者, 西奥德, 里克, 维希, 戈特, 期间, 对, 破坏者, 实行, 霸权
Score: <end_of_turn><start_of_turn>model
"
3	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: The Tihamah ends abruptly at the escarpment of the western highlands.
Chinese human reference: 提哈玛河（Tihamah）在西部高地的陡峭处突然终止。
Chinese translation: 提哈玛河突然在西部高地的吞没处结束.
Error words: 突然, 吞没, 结束, .
Score: <end_of_turn><start_of_turn>model
"
4	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: In July 1916, Kinkaid reported to , the navy's newest battleship, as a gunfire spotter.
Chinese human reference: 1916年7月，金凯德（Kinkaid）向海军最新的战列舰报导，担任枪炮侦察员。
Chinese translation: 1916 年 7 月, 金凯德向海军最新的战舰报告说, 它是炮火的发现者.
Error words: ,, 向, 战舰, 报告, 说, ,, 它, 是, 炮火, 的, 发现者, .
Score: <end_of_turn><start_of_turn>model
"
5	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: It lies between latitudes 12°N and 4°S, and longitudes 67° and 79°W.
Chinese human reference: 它位于北纬12度至南纬4度和东经67度至79度之间。
Chinese translation: 它位于北纬 12 度至南纬 4 度和东经 67 度至 79 度之间。
Error words: 
Score: <end_of_turn><start_of_turn>model
"
6	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: After chronic disagreements with her rival, Min Hogg, she quit and moved to New York with her boyfriend, freelance journalist Jon Bradshaw.
Chinese human reference: 在与竞争对手敏·霍格（MinHogg）长期争执之后，她辞职并与自由撰稿人男友乔恩·布拉德肖（JonBradshaw）搬到了纽约。
Chinese translation: 在与竞争对手 Min Hogg 长期争执后 ， 她辞去职务 ， 与男朋友、自由职业记者 Jon Bradshaw 搬到纽约。
Error words: Min, 长期, 后, 辞去, 职务, ，, 与, 男朋友, 、, 自由职业, 记者, 搬, 到
Score: <end_of_turn><start_of_turn>model
"
7	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Route 3 crossed northern Rhode Island to Providence, where the highway intersected Route 1.
Chinese human reference: 3号公路跨越罗德岛北部至普罗维登斯，公路与1号公路交叉。
Chinese translation: 3 号公路跨越罗德岛北部至普罗维登斯 ， 公路与 1 号公路交叉。
Error words: 
Score: <end_of_turn><start_of_turn>model
"
8	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Cilicia Rubenid dynasty List of monarchs of the Armenian Kingdom of Cilicia
Chinese human reference: CiliciaRubenid王朝Cilicia亚美尼亚王国君主列表
Chinese translation: Cilicia Rubenid 王朝 Cilicia 亚美尼亚王国君主列表
Error words: 
Score: <end_of_turn><start_of_turn>model
"
9	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: 5 seed to the Tournament where they beat Green Bay on a buzzer beater by Steve Smith.
Chinese human reference: 5号种子进入锦标赛，在赛事中，他们以史蒂夫·史密斯的压哨球击败了绿湾。
Chinese translation: 5 颗种子在比赛中被史蒂夫 · 史密斯的轰鸣声击败了绿湾。
Error words: 颗, 在, 比赛, 被, 轰鸣声
Score: <end_of_turn><start_of_turn>model
"
10	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: The only common reptiles and amphibians are various pond frogs, toads, salamanders, and small turtles.
Chinese human reference: 唯一常见的爬行动物和两栖动物是各种池塘青蛙、蟾蜍、蝾螈和小龟。
Chinese translation: 唯一常见的爬行动物和两栖动物是各种池塘青蛙、玩具、沙兰和小龟.
Error words: 玩具, 沙兰, .
Score: <end_of_turn><start_of_turn>model
"
11	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: There are many retriever breeds, such as Labrador Retrievers and Chesapeake Bay Retrievers, specifically bred for the task.
Chinese human reference: 有许多寻回犬品种，例如拉布拉多犬和乞沙比克獵犬，是专门为这项任务育种的。
Chinese translation: 有许多检索品种 ， 例如拉布拉多检索者和切萨皮克湾检索者 ， 专门为这项任务育种。
Error words: 检索, 检索, 者, 和, 切萨皮克湾, 检索, 者, 专门, 。
Score: <end_of_turn><start_of_turn>model
"
12	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: He transforms into a Tanuki with a clock imbedded in its stomach.
Chinese human reference: 它变成了一只肚子里镶有时钟的狸猫。
Chinese translation: 他变成了一个塔努基人, 肚子里塞满了钟.
Error words: 他, 一个, 塔, 努基人, ,, 肚子, 里, 塞满, 了, 钟, .
Score: <end_of_turn><start_of_turn>model
"
13	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Haroun and R. Chang, Journal of the Waterway, Port, Coastal and Ocean Engineering, ASCE, Vol.
Chinese human reference: Haroun和R.Chang，《水道杂志》，港口、沿海和海洋工程，ASCE，第二卷。
Chinese translation: Haroun 和 R. Chang ， 《水道杂志》 ， 港口、沿海和海洋工程 ， ASCE ， 第二卷。
Error words: 
Score: <end_of_turn><start_of_turn>model
"
14	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: He subsequently split results against Shereef, also besting Rip Miller and Austin on several occasions during November.
Chinese human reference: 随后，他在11月期间对阵谢里夫互有胜负，也多次击败里普·米勒和奥斯汀。
Chinese translation: 随后 ， 他在 11 月的几次比赛中对谢里夫、同时也对里普 · 米勒和奥斯汀分手。
Error words: 的, 几次, 比赛, 中, 对, 、, 同时, 对, 里, 普, 分手
Score: <end_of_turn><start_of_turn>model
"
15	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Judoka Majlinda Kelmendi became World Champion in 2013 and 2014, and also the European Champion in 2014.
Chinese human reference: JudokaMajlindaKelmendi分别于2013年和2014年获得世界冠军，并于2014年获得欧洲冠军。
Chinese translation: Judoka Majlinda Kelmendi 在 2013 年和 2014 年成为世界冠军 ， 在 2014 年也成为欧洲冠军。
Error words: 在, 成为, 在, 也, 成为
Score: <end_of_turn><start_of_turn>model
"
16	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: She leads the Widow's Vale coven ""Kithic"", which receives Bree and Raven as transfers from ""Cirrus"" after Bree's altercation with Morgan.
Chinese human reference: 她领导着寡妇谷女巫团“Kithic”，在Bree与Morgan发生争执后，“Kithic”接收了Bree和Raven作为“Cirrus”的转职者。
Chinese translation: 她领导寡妇的山谷曲棍球 ""Kithic"" ， 在布里与摩根争吵后 ， 她接收了布里和拉文作为转会的转会。
Error words: 寡妇, 的, 山谷, 曲棍球, "", "", 布里, 摩根, 争吵, 她, 布里, 和拉文, 转会, 转会
Score: <end_of_turn><start_of_turn>model
"
17	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Spitfires of 609 Squadron and Hurricanes from 257 and 145 squadrons attacked the German formations, joined later by 238 Squadron.
Chinese human reference: 609中队的喷火战斗机与257中队和145中队的飓风战斗机袭击了德国的编队，后来238中队也加入进来。
Chinese translation: 609 个中队的空火和 257 个中队和 145 个中队的飓风袭击了德国的编队 ， 后来又袭击了 238 个中队。
Error words: 个, 空火, 和, 257, 个, 个, 袭击, 又, 袭击, 了, 238, 个, 中队
Score: <end_of_turn><start_of_turn>model
"
18	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: They have various colourings such as mottled browns, greys and olives to blend into the background.
Chinese human reference: 它们具有各种颜色，例如斑驳的棕色，灰色和橄榄色，可融合到背景中。
Chinese translation: 它们有各种各样的颜色, 如斑驳的棕色, 灰色和橄榄混合在一起的背景.
Error words: 有, 各种各样, 的, ,, 如, ,, 橄榄, 混合, 在, 一起, 的, .
Score: <end_of_turn><start_of_turn>model
"
19	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: His tally of 1,745 wickets for Yorkshire is bettered only by Wilfred Rhodes, George Hirst, Schofield Haigh and George Macaulay.
Chinese human reference: 他为约克郡队总共打下1745个三柱门，仅次于威尔弗雷德·罗兹、乔治·赫斯特、斯科菲尔德·海伊和乔治·麦考利。
Chinese translation: 只有威尔弗雷德 · 罗兹 （ Wilfred Rhodes ） 、乔治 · 赫斯特 （ George Hirst ） 、夏菲尔德 · 海格 （ Schofield Haigh ） 和乔治 · 马考莱 （ George Macaulay ） 才改善了他为约克郡买的 1745 只曲棍球。
Error words: 只有, 威尔, 弗雷德, ·, 罗兹, （, Wilfred, Rhodes, ）, 、, 乔治, ·, 赫斯特, （, George, Hirst, ）, 夏, 菲尔德, 海格, （, Schofield, Haigh, ）, 马考莱, （, George, Macaulay, ）, 才, 改善, 了, 他, 为, 约克郡, 买, 的, 1745, 只, 曲棍球
Score: <end_of_turn><start_of_turn>model
"
20	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: The ""Win one for the Gipper"" speech was parodied in the 1980 movie Airplane!
Chinese human reference: 在1980年的电影《飞机》上模仿了“为吉佩赢一回”的演讲！
Chinese translation: 在 1980 年的电影《飞机》上播放了 ""Gipper 的赢家"" 的演讲 ！
Error words: 播放, "", Gipper, 的, 赢家, ""
Score: <end_of_turn><start_of_turn>model
"
21	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: When the screen went blank, Armstrong smashed his guitar, while bassist Mike Dirnt smashed his bass.
Chinese human reference: 屏幕变黑时，阿姆斯特朗（Armstrong）砸了他的吉他，而贝斯手迈克·迪恩特（MikeDirnt）砸了他的贝斯。
Chinese translation: 当屏幕空着的时候 ， 阿姆斯特朗击碎了吉他 ， 而鲍伊麦克 · 迪尔特击碎了他的低音。
Error words: 当, 空着, 的, 时候, 击碎, 吉他, 鲍伊, 麦克, 迪, 尔特, 击碎, 低音
Score: <end_of_turn><start_of_turn>model
"
22	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Only the part between the parterre of the orangery and the pond of Chalais remains blocked.
Chinese human reference: 只有修道院与加莱池塘之间的部分仍然被阻塞。
Chinese translation: 只有修道院与加莱池塘之间的部分仍然被阻塞。
Error words: 
Score: <end_of_turn><start_of_turn>model
"
23	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Loaches, trahiras, and many catfish breathe by passing air through the gut.
Chinese human reference: 泥鳅、土鳖和许多鲶鱼通过肠道排出空气来呼吸。
Chinese translation: 卸货, 拖拉机, 和许多猫科动物通过空气通过肠道呼吸.
Error words: 卸货, ,, 拖拉机, ,, 猫科动物, 空气, 通过, 肠道, .
Score: <end_of_turn><start_of_turn>model
"
24	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Flying Grace's old plane The Flying Lemur, the siblings escape with a vial of green liquid.
Chinese human reference: 开着格雷斯的旧飞机TheFlyingLemur，两兄妹带着一瓶绿色的液体逃走了。
Chinese translation: 飞行格雷斯的旧飞机飞翔的莱穆尔 ， 兄弟姐妹们用一瓶绿色的液体逃走了。
Error words: 飞行, 飞翔, 的, 莱, 穆尔, ，, 兄弟姐妹, 们, 用
Score: <end_of_turn><start_of_turn>model
"
25	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Henry marched first to Verona, thence to Pavia in October.
Chinese human reference: 亨利首先前往维罗纳，然后于十月前往帕维亚。
Chinese translation: 亨利在十月份第一次向维罗纳进军, 然后向帕维亚进军.
Error words: 在, 十月份, 第一次, 向, 进军, ,, 然后, 向, 帕维亚, 进军, .
Score: <end_of_turn><start_of_turn>model
"
26	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Biography by the Ministry of Education Biography of Mariano Moreno Writings by Mariano Moreno
Chinese human reference: 教育部长的传记，马里亚诺·莫雷诺的传记，马里亚诺·莫雷诺著。
Chinese translation: Mariano Moreno 撰写的 Mariano Moreno 的教育部传记
Error words: Mariano, Moreno, 撰写, Mariano, Moreno, 的, 教育部, 传记
Score: <end_of_turn><start_of_turn>model
"
27	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: He proceeded to butcher the idolaters, destroyed their temples and plundered their shrines.
Chinese human reference: 他接着屠宰了偶像崇拜者，毁坏了他们的庙宇，洗劫了他们的神殿。
Chinese translation: 他接着屠宰了偶像, 毁坏了他们的庙宇, 洗劫了他们的圣地.
Error words: 偶像, ,, ,, 圣地, .
Score: <end_of_turn><start_of_turn>model
"
28	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Other groups have a frenulum on the hindwing that hooks under a retinaculum on the forewing.
Chinese human reference: 其他类群在后翼上有翅缰，钩在前翼上的抱刺钩下。
Chinese translation: 其他一些人在后腿上发狂, 在前翼的视网膜下钓钩.
Error words: 一些, 人, 后腿, 发狂, ,, 的, 视网膜, 下, 钓钩, .
Score: <end_of_turn><start_of_turn>model
"
29	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: 35 Baxi DC Alpine LMP2 ran straight across the gravel trap at the first Mulsanne Chicane and into the concrete wall.
Chinese human reference: 35BaxiDCAlpineLMP2直接穿过第一个MulsanneChiane的砾石陷阱，撞上水泥墙。
Chinese translation: 35 Baxi DC Alpine LMP2 直接穿过第一个 Mulsanne Chiane 的砾石陷阱 ， 进入混凝土墙。
Error words: 进入, 混凝土, 墙
Score: <end_of_turn><start_of_turn>model
"
30	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Later on, a Charisian fleet razes Ferayd's waterfront to settle the score.
Chinese human reference: 后来，查理斯舰队为了报仇将费拉德的海滨夷为平地。
Chinese translation: 后来, 一支 Charisian 舰队在费拉德的海滨进行冲刺, 以确定得分.
Error words: ,, 一支, Charisian, 舰队, 在, 费, 进行, 冲刺, ,, 以, 确定, 得分, .
Score: <end_of_turn><start_of_turn>model
"
31	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Appleton's Cyclopaedia of American Biography, Volume 4, James Grant Wilson and John Fiske, ed.
Chinese human reference: 阿普尔顿的《美国传记百科全书》，第四卷，詹姆斯格兰特威尔逊和约翰菲斯克编辑。
Chinese translation: 阿普尔顿的《美国传记百科全书》第四卷, 詹姆斯格兰特威尔逊和约翰菲斯克编辑.
Error words: 第四卷, ,, .
Score: <end_of_turn><start_of_turn>model
"
32	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: They sailed back to the U.S. from Marseilles in late 1933.
Chinese human reference: 他们于1933年末从马赛(Marseilles)返回美国。
Chinese translation: 1933 年底, 他们从马赛启航回美国.
Error words: 1933, 年底, ,, 他们, 启航, 回, .
Score: <end_of_turn><start_of_turn>model
"
33	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: Hydrogen atoms and helium atoms probably come from the solar wind, diffusing into Mercury's magnetosphere before later escaping back into space.
Chinese human reference: 氢原子和氦原子可能来自太阳风，扩散到水星的磁层，然后再返回太空。
Chinese translation: 氢原子和氦原子可能来自太阳风 ， 扩散到水星的磁层 ， 然后再返回太空。
Error words: 
Score: <end_of_turn><start_of_turn>model
"
34	"<start_of_turn>user
Score the following translation from English to Chinese with respect to the human reference and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
English source: The crust of limestone of Beauce ends with a ledge at the edge of the Bois de Verrières.
Chinese human reference: 博斯（Beauce）的石灰岩外壳在BoisdeVerrières的边缘处有一个壁架。
Chinese translation: 波斯石灰石的结壳在贝里耶尔河的边缘有一个石块。
Error words: 波斯, 石灰石, 结壳, 贝, 里耶尔, 河, 有, 石块
Score: <end_of_turn><start_of_turn>model
"
