	final_prompt
0	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: හැම දැයෙහි මිදුණා වූ කසුප් බුදුරජුනට නමස්කාර වේ වා.
English human reference: Praise be to the Buddha who is saved in all things .

English translation: Every frost is named for the Ksupp Buddha.
Score: <end_of_turn><start_of_turn>model
"
1	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: උදාහරණයක් වශයෙන් කුඩා ළමයා තම ලිංගය ස්පර්ශ කිරීමට කැමතිය.
English human reference: For example , a small child likes to touch his penis .

English translation: For example, the little kid likes to touch his dick.
Score: <end_of_turn><start_of_turn>model
"
2	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මේ ආකාරයෙන් දේශනාකරන ලද්දා වූ බුද්ධ ධර්මය මෙනෙහි කොට ඇත්ත වශයෙන්ම පින්රැස්කර නිර්වානයට පැමිණෙන්න.""
English human reference: Meditate on the Buddha Dhamma as preached in this manner to truly gain merit and attain Nirvana . ""

English translation: In this way lectured intelligence on the menace, originally to come to pinnacle determination.""
Score: <end_of_turn><start_of_turn>model
"
3	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: 494දී එහි ශේෂයන් ගොගුර්යෝව විසින් අවශෝෂණය කරගන්නා ලදී.
English human reference: In 494 its remnants were absorbed by Goguryeo .

English translation: In 494 its balance was absorbed by goguryeo.
Score: <end_of_turn><start_of_turn>model
"
4	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මෙහි දී කන්පෙත්තේ වූ මාංසලමය සිදුරට විශාල පේනු ආකාර ආභරණ පැළඳීම සිදුකරයි.
English human reference: Here , large plug shaped ornaments are put into the fleshy hole in the earlobe .

English translation: In the ears here, the mansion hole is made of large penetrating jewelry.
Score: <end_of_turn><start_of_turn>model
"
5	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: රාජකීය යි නිවස සමග අන්තර්විවාහ සම්බන්ධතා පැවැත්වීම මගින් අන්දොං කිම් වංශය සිය බලය තර කොටගෙන තිබිණි.
English human reference: The Andong Kim dynasty had strengthened its power by intermarrying with the royal house .

English translation: By contrast with the royal yi house, the Andong Kim clan had contested hundreds of power.
Score: <end_of_turn><start_of_turn>model
"
6	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: එසේම වෙනත් කාර්යාලවල නිලධාරීන් 36දෙනකුද මෙම ආයතනය ගෙනයාමට දායක වූහ.
English human reference: Also , 36 officers from other offices contributed to the running of this institution .

English translation: Also 36 offices in other offices contributed to this institution's move.
Score: <end_of_turn><start_of_turn>model
"
7	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: කාවන්තිස්ස සහ සද්ධාතිස්ස යන රජවරුන්ගේ දියණිවරු පැවිදි වී සිටියහ.
English human reference: The daughters of kings Kavantissa and Saddhatissa were ordained .

English translation: The daughters of the kings of karthik and siddhartha were executed.
Score: <end_of_turn><start_of_turn>model
"
8	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: එහි පරාජය කෙරුණු සතුරන්ගේ රූ සහිත දර්ශනවලින් අලංකාර කර ඇත.
English human reference: It is adorned with pictures of defeated enemies .

English translation: Its defeated enemy is portrayed with ruined scenes.
Score: <end_of_turn><start_of_turn>model
"
9	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: එමෙන්ම ශරීරයේ අනික් තැනකට වඩා මුහුණ ඉදිමෙන්නට පටන් ගනි.
English human reference: Also , the face begins to swell more than any other part of the body .

English translation: And the facade begins to be more than the rest of the body.
Score: <end_of_turn><start_of_turn>model
"
10	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: විකාශන හිමිකම්වල මිල අඩුවීම රූපවාහිනී නාළිකාවල වෙළඳ දැන්වීම් කාලය නොමිලේ ලබා දීමට සිදු වන තරම් බරපතල ගැටලුවක් උද්ගත කරන්නක් විය.
English human reference: The declining cost of broadcasting rights posed such a serious problem that television channels had to offer free advertising time .

English translation: Lack of the price of broadcast rights in television channels was a serious issue as the commercial time had to be free.
Score: <end_of_turn><start_of_turn>model
"
11	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මුල්කාලීනව මෙම කොට්ඨාසයන්ගෙන් සමන්විත වූ නමුත් පසු අවධියේ දී එහි සමාජ පදනම පුළුල් වේ.
English human reference: Initially it consisted of these divisions but later on its social base expanded .

English translation: Originally these cottages were built but in the later period its community foundation is wide.
Score: <end_of_turn><start_of_turn>model
"
12	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මෙතන ධාතු ටිකක් හැර අයිස් කැටයක් කියා දෙයක් සත්යප වශයෙන් ම තිබෙනවා ද කියා සිතා බලන්න.
English human reference: Besides minerals , think if there is something truly called an ice cube here .

English translation: Think if there's an ice capacity except for a few capacities.
Score: <end_of_turn><start_of_turn>model
"
13	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: නමුත් මෙවැනි ආකාරයේ සංවිධානයක් පිහිටුවීම හරහා ගොවීන් හටත් තමන්ට යම්කිසි අත්වැලක් ඇති බැව් පසක් වනු ඇත.
English human reference: But by setting up such an organization , the farmers will realize that they too have some help .

English translation: But through the establishment of such a kind of organization, farmers will have some hands on themselves.
Score: <end_of_turn><start_of_turn>model
"
14	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: නිවැරදිව භාවිත කළහොත් දත් අතර රැඳි රොඩු දත් අතර සහ පරිදන්ත රෝගය නිතර ඇරඹෙන සහ දත් දිරීම වර්ධනය වන ස්ථානය වන විදුරුමස් රේඛාව මත ඇති ඵලක ඉවත් කරයි.
English human reference: Used correctly , it removes plaque between the teeth and on the gum line , the place where periodontal disease often begins and tooth decay develops .

English translation: If used correctly, between the rodent teeth that stay between the teeth and the adjacent disease frequently begins and the teeth rotate on the growing glass lining of the tablet.
Score: <end_of_turn><start_of_turn>model
"
15	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: ජුලි 25 දින මුවර්ගේට් සහ ඇල්ඩ්ගේට් අතර මෙට්රොපොලිටන් ලයින් සේවාව නැවත ආරම්භ විය.
English human reference: On July 25 , the Metropolitan Line service resumed between Mooregate and Aldgate .

English translation: The Metropolitan line service between Moogate and aldgate was resumed on 25 July.
Score: <end_of_turn><start_of_turn>model
"
16	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: කුඩු නැති, තොහො නැති, ශුද්ධ වූ, සුවඳැති සහල් සැළියෙක බහා පිසැ, එයින් ගෙන බොජුන් වළඳත්.
English human reference: Powdered , uncooked , pure , fragrant rice is cooked in a pan and taken out of the pot .

English translation: Polypropylene, polypropylene, polypropylene, polypropylene, polypropylene.
Score: <end_of_turn><start_of_turn>model
"
17	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: ලොව කිසිම පුද්ගලයකුට තමා වයසට යාම නතර කිරීමට ශක්තියක් නැත.
English human reference: No one in the world has the power to stop aging .

English translation: No person in the world has the strength to stop aging.
Score: <end_of_turn><start_of_turn>model
"
18	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මෙසේ තාවකාලිකව යටපත් කරන්නා වූ දේවල් අවිඥානය තුළ සැගවී තිබේ.
English human reference: Things that are thus temporarily suppressed are hidden in the awichnaya

English translation: Table of contemporary undertakings is hidden in arithmetic.
Score: <end_of_turn><start_of_turn>model
"
19	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: ක්රිස්තියානි රටවල යුදෙව් ජීවිතය නිතර නිතර රුධිරය libels , නෙරපා හැරීම් , බල කිරීම් හා ජනසංහාර සලකුනු කරන ලදී.
English human reference: Jewish life in Christian lands was often marked by blood libels , exile , coercion , and genocide .

English translation: The Jewish life in the Christian country often consisted of blood libels, neopaganism, inspiration and censorship.
Score: <end_of_turn><start_of_turn>model
"
20	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මීට අමතරව උල් වූ කන් බොහෝ ෆැන්ටසි ගණයේ අද්භූත ජීවීන්ගේ ලක්ෂණයකි.
English human reference: In addition , pointed ears are a feature of many fantasy mystical creatures .

English translation: In addition to the fragmented ears of many fantasy calculations, a sign of weird life.
Score: <end_of_turn><start_of_turn>model
"
21	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: එලවළු සලාද සෑදීමට යොදාගන්නා බැවින් මෙම නම ලැබී ඇත.
English human reference: The name comes from the fact that it is used to make vegetable salads .

English translation: This name has been used to create vegetable salads.
Score: <end_of_turn><start_of_turn>model
"
22	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: නමුත් වසැ තිස් පහකට පසු IVවන තුත්මෝස් විසින් එය පිහිටුවන තෙක්ම එය සිටුවා තිබුණේ නැත.
English human reference: But it was not planted until thirty-five years later by Thutmose IV .

English translation: But thirty five years later IV was not satisfied until it was relocated.
Score: <end_of_turn><start_of_turn>model
"
23	"<start_of_turn>user
Score the following translation from Sinhala to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
Sinhala source: මෙම නෂ්ඨ වීම් අතීතය පුරා සිද්ධ වූ අතර එම වේගය ඉහල නඟින්නේ කලාතුරකින් සිදුවන මහා නෂ්ඨ සිද්ධීන් නිසාය.
English human reference: These catastrophes have occurred throughout the past and are accelerating because of the rare catastrophes that occur .

English translation: These foils have occurred over the past and the speed is rarely climbed due to the greater foil cases.
Score: <end_of_turn><start_of_turn>model
"
