	final_prompt
0	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: २६ र २७ गते दुर्इदिनसम्म सत्याग्रह चलेपछि राजकीय परिषदबाट मागहरू पूरा गरिदिने स्वीकृति प्राप्त भएकाले नेपाली कांग्रेसका अध्यक्ष वी.पी.
English human reference: B. P. , the chairman of the Nepali Congress , who obtained a permit to complete demands from the royal council after a Satyagrah run of 26 and 27 .

English translation: W. P., chairman of the Nepali Congress, who obtained a permit to complete demands from the royal council after a satellite run of 26 and 27.
Score: [/INST]"
1	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: पछि गरिएका अनुसन्धानहरुबाट उनको जन्म दक्षिण भारतमा भएको जानकारी प्राप्त हुन्छ ।
English human reference: From later investigations , this information is obtained that he was born in South India .

English translation: His birthday from later investigations is obtained in South India.
Score: [/INST]"
2	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यस बराबरी खेलको दुई हप्तापछि उनीहरू बीच पुन खेल भयो तर खेल पहिलाको जस्तै बराबरीमा समाप्त भएको थियो।
English human reference: Two weeks after that draw , they played again , but the game ended in a draw like the previous game .

English translation: After two weeks of that equal game, they were rebounded between them, but the game ended as before.
Score: [/INST]"
3	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: सङ्घीयताको आधुनिक अवधारणा संयुक्त राज्य अमेरिकामा सन् १७७६ देखि १७८९ बीचमा भएको मानिन्छ।
English human reference: The modern concept of federalism is considered to have originated in the United States between 1776 and 1789 .

English translation: The modern concept of federalism is considered to have been between 1776 and 1789 in the United States.
Score: [/INST]"
4	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: तर गैर व्यवसायिक करयोग्य सम्पत्ति राख्ने कार्य लगानी मानिने छ ।
English human reference: But keeping non-commercial taxable assets will be considered an investment .

English translation: But nonprofit taxable assets will be considered a working investment.
Score: [/INST]"
5	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: दुधकुवा हिल्लन लाग्या साँण जुधन लाग्या सरग गड्कन लाग्यो के के चालो भयो नरी बम पैकालो कही छकी खोजेर ल्याउ भनेपछि नरी बमलाई खोजेर ल्याए ।
English human reference: Dudhkuwa started shaking , bulls started fighting , the king started to order , what is happening , when asked to search and bring Naari Bam Paikalo that he might be somewhere , they searched for Naari Bam and brought him .

English translation: Milkwood Hillan costs surgically what moves Nori bombs after bringing a search for her.
Score: [/INST]"
6	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यहाँबाट र्फकने वित्तिकै उनले ""मिनिष्टर"" पदवी लिए ।
English human reference: Upon his return , he took the post of "" Minister "" .

English translation: From there onwards, he took the post ""Minister"".
Score: [/INST]"
7	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: जर्ज ग्रियर्सन महोदयका अनुसार मुर्मीहरु आफूलाई तिब्बतका पुराना बासिन्दामध्ये एक मान्दछन् ।
English human reference: According to Mr. George Grierson , the Murmis consider themselves one of the oldest inhabitants of Tibet .

English translation: According to George Grierson Mahoney, the murmys consider themselves one of the oldest inhabitants of Tibet.
Score: [/INST]"
8	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यसपछि म्याकमेनको एक नयाँ युगको सुरुवात गरेका थिए ।
English human reference: McMahon then ushered in a new era .

English translation: A new era of mcmen was then introduced.
Score: [/INST]"
9	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: यसका अतिरिक्त यस जातिका मानिसहरू पशुपालन तथा डोको, नाम्लो, थुन्चे, डालो, मान्द्रो, चित्रा, नाङ्लो, भकारी आदि वेतबाँसका सामग्रीहरू बनाउने गर्दछन ।
English human reference: In addition to this , people of this race raise livestock as well as make materials from bamboo like Doko , Namlo , Thunchey , Daalo , Mandro , Chitraa , Nanglo , Bhakari etc .

English translation: In addition, the people of this land make the contents of animals and docs, namlo, Thuncheon, baskets, Mandro, Chitra, nanlo, etc.
Score: [/INST]"
