	final_prompt
0	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: හැම දැයෙහි මිදුණා වූ කසුප් බුදුරජුනට නමස්කාර වේ වා.
English translation: Every frost is named for the Ksupp Buddha.
Score: [/INST]"
1	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: උදාහරණයක් වශයෙන් කුඩා ළමයා තම ලිංගය ස්පර්ශ කිරීමට කැමතිය.
English translation: For example, the little kid likes to touch his dick.
Score: [/INST]"
2	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: මේ ආකාරයෙන් දේශනාකරන ලද්දා වූ බුද්ධ ධර්මය මෙනෙහි කොට ඇත්ත වශයෙන්ම පින්රැස්කර නිර්වානයට පැමිණෙන්න.""
English translation: In this way lectured intelligence on the menace, originally to come to pinnacle determination.""
Score: [/INST]"
3	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: 494දී එහි ශේෂයන් ගොගුර්යෝව විසින් අවශෝෂණය කරගන්නා ලදී.
English translation: In 494 its balance was absorbed by goguryeo.
Score: [/INST]"
4	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: මෙහි දී කන්පෙත්තේ වූ මාංසලමය සිදුරට විශාල පේනු ආකාර ආභරණ පැළඳීම සිදුකරයි.
English translation: In the ears here, the mansion hole is made of large penetrating jewelry.
Score: [/INST]"
5	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: රාජකීය යි නිවස සමග අන්තර්විවාහ සම්බන්ධතා පැවැත්වීම මගින් අන්දොං කිම් වංශය සිය බලය තර කොටගෙන තිබිණි.
English translation: By contrast with the royal yi house, the Andong Kim clan had contested hundreds of power.
Score: [/INST]"
6	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: එසේම වෙනත් කාර්යාලවල නිලධාරීන් 36දෙනකුද මෙම ආයතනය ගෙනයාමට දායක වූහ.
English translation: Also 36 offices in other offices contributed to this institution's move.
Score: [/INST]"
7	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: කාවන්තිස්ස සහ සද්ධාතිස්ස යන රජවරුන්ගේ දියණිවරු පැවිදි වී සිටියහ.
English translation: The daughters of the kings of karthik and siddhartha were executed.
Score: [/INST]"
8	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: එහි පරාජය කෙරුණු සතුරන්ගේ රූ සහිත දර්ශනවලින් අලංකාර කර ඇත.
English translation: Its defeated enemy is portrayed with ruined scenes.
Score: [/INST]"
9	"<s>[INST]<<SYS>>You are a helpful assistant.<</SYS>>Score the following translation from Sinhala to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Sinhala source: එමෙන්ම ශරීරයේ අනික් තැනකට වඩා මුහුණ ඉදිමෙන්නට පටන් ගනි.
English translation: And the facade begins to be more than the rest of the body.
Score: [/INST]"
