	final_prompt
0	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Prime Minister Modi conveyed warm greetings on the Jewish New Year and the Jewish festival of Sukkot to Prime Minister Netanyahu and the people of Israel.
Machine translation: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या.
Reference translation: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या .
[/INST]"
1	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: The Prime Minsiter said, yours is a profession where the factor of encountering something unexpected is very high, and you all must be alert and prepared for this.
Machine translation: पंतप्रधान म्हणाले, तुमचा व्यवसाय असा आहे जिथे अनपेक्षित गोष्टींचा सामना करण्याची क्षमता खूप जास्त आहे आणि यासाठी आपण सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे.
Reference translation: पंतप्रधान म्हणाले , तुमचा व्यवसाय क्षेत्र असे आहे की जिथे अनपेक्षित गोष्टींचा सामना करण्याची शक्यता खूप जास्त आहे आणि यासाठी तुम्ही सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे .
[/INST]"
2	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Since 1534 the islands had been a part of the Portuguese territory.
Machine translation: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती.
Reference translation: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती .
[/INST]"
3	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: The main reading room is in the new building, first floor for books and journals and second floor for manuscripts.
Machine translation: मुख्य वाचनालय नवीन इमारतीत, पहिल्या मजल्यावर पुस्तके आणि नियतकालिके आणि हस्तलिखितांसाठी आहे.
Reference translation: मुख्य वाचनालय नवीन इमारतीत असून , पहिला मजला पुस्तके आणि नियतकालिके यांच्यासाठी आणि दुसरा मजला हा हस्तलिखितांसाठी आहे .
[/INST]"
4	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Under the patronage of Kings and rulers, skilled artisans and entertainers were encouraged to specialize and to refine their skills to greater levels of perfection and sophistication.
Machine translation: राजा आणि शासकांच्या प्रोत्साहनाखाली, कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले.
Reference translation: राजा आणि शासकांच्या प्रोत्साहनाखाली , कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले .
[/INST]"
5	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Babies are more likely to have congenital heart block if they're born with a heart defect, or if their mother has an autoimmune condition, such as lupus.
Machine translation: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल, जसे की ल्युपस.
Reference translation: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल , जसेकी ल्युपस .
[/INST]"
6	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Flanking the God are images of his consorts Rajni and Niksubha, wearing dhotis and boots.
Machine translation: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या समोर आहेत, ज्यांनी धोती आणि बूट घातले आहेत.
Reference translation: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या बाजूला आहेत , ज्यांनी धोती आणि बूट घातले आहेत .
[/INST]"
7	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: If students see the skilled professionals then there will be a kind of emotional connection, they will understand the skills and respect them.
Machine translation: जर विद्यार्थी कुशल व्यावसायिकांना पाहत असतील तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल, ते कौशल्य समजून घेतील आणि त्यांचा आदर करतील.
Reference translation: जर विद्यार्थ्यांना कुशल व्यावसायिकांना बघता आले तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल , ते कौशल्य आत्मसात करतील आणि त्यांचा आदर करतील .
[/INST]"
8	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Do not take any other medicines to treat the side effects of oxycodone without speaking to a pharmacist or doctor first.
Machine translation: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका.
Reference translation: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका .
[/INST]"
9	"<s>[INST]You are going to evaluate the quality for English-Marathi translation. You need to think step by step. First read the following source, machine translation and reference translation. Analyze where the machine translation is different from the reference translation.
Source: Raunza is a percussion instrument made of wood, leather, and cloth.
Machine translation: रॉन्झा हे लाकूड, चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे.
Reference translation: रौन्झा हे लाकूड , चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे .
[/INST]"
