	final_prompt
0	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 71 岁的杰瑞 · 约克, 美国商人, 苹果公司执行董事, 脑出血.
Chinese human reference: 71岁的杰瑞·约克,美国商人,苹果公司执行董事,脑出血.
Score: [/INST]"
1	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 9 月 7 日 ， 内克禁止粮食出口。
Chinese human reference: 9月7日，内克（Necker）禁止谷物的出口。
Score: [/INST]"
2	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 自 493 年以来 ， 意大利统治者西奥德里克于 511 年成为维希戈特人的国王 ， 并在 521 年至 523 年期间对北非的破坏者实行霸权。
Chinese human reference: Theoderic自493年起成为意大利的统治者，于511年成为西哥特人的国王，并在521年至523年之间霸占了北非的Vandals。
Score: [/INST]"
3	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 提哈玛河突然在西部高地的吞没处结束.
Chinese human reference: 提哈玛河（Tihamah）在西部高地的陡峭处突然终止。
Score: [/INST]"
4	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 1916 年 7 月, 金凯德向海军最新的战舰报告说, 它是炮火的发现者.
Chinese human reference: 1916年7月，金凯德（Kinkaid）向海军最新的战列舰报导，担任枪炮侦察员。
Score: [/INST]"
5	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 它位于北纬 12 度至南纬 4 度和东经 67 度至 79 度之间。
Chinese human reference: 它位于北纬12度至南纬4度和东经67度至79度之间。
Score: [/INST]"
6	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 在与竞争对手 Min Hogg 长期争执后 ， 她辞去职务 ， 与男朋友、自由职业记者 Jon Bradshaw 搬到纽约。
Chinese human reference: 在与竞争对手敏·霍格（MinHogg）长期争执之后，她辞职并与自由撰稿人男友乔恩·布拉德肖（JonBradshaw）搬到了纽约。
Score: [/INST]"
7	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 3 号公路跨越罗德岛北部至普罗维登斯 ， 公路与 1 号公路交叉。
Chinese human reference: 3号公路跨越罗德岛北部至普罗维登斯，公路与1号公路交叉。
Score: [/INST]"
8	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: Cilicia Rubenid 王朝 Cilicia 亚美尼亚王国君主列表
Chinese human reference: CiliciaRubenid王朝Cilicia亚美尼亚王国君主列表
Score: [/INST]"
9	"<s>[INST]Score the following translation from English to Chinese with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Chinese translation: 5 颗种子在比赛中被史蒂夫 · 史密斯的轰鸣声击败了绿湾。
Chinese human reference: 5号种子进入锦标赛，在赛事中，他们以史蒂夫·史密斯的压哨球击败了绿湾。
Score: [/INST]"
