	final_prompt
0	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Neid viimaseid asju ei pruugi mõistuspärane toimija soovida, õieti ei tohi soovida, selleks et olla mõistuspärane soovija.
Machine translation: These last things may not be wanted by a rational player, or perhaps not wanted, in order to be a rational wish.
Reference translation: These last things may not be wanted by a rational actor , or more accurately , should not be wanted , in order to be a rational wish-maker .

Score:[/INST]"
1	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Tuleb otsustada, kui suur erinevus on selle vahel, mida ta tegi, ja tegude vahel, mis näitavad meile mõrva tõsidust.
Machine translation: It is important to decide what a difference there is between what he has done and the actions that show us the gravity of the murder.
Reference translation: It is important to decide how big a difference there is between what he has done and the actions that show us the gravity of the murder .

Score:[/INST]"
2	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Esimesel päeval kohtus ta Kiievis Ukraina peaministri Viktor Janukovõtšiga ja presidendi Viktor Juštšenkoga.
Machine translation: On the first day in Kiev, he met Ukrainian Prime Minister Viktor Yanukovych and President Viktor Yushchenko.
Reference translation: On the first day , he met in Kiev with Ukrainian Prime Minister Viktor Yanukovych and President Viktor Yushchenko .

Score:[/INST]"
3	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Eesti diplomaatilist esindust ega aukonsulit riigis ei ole.
Machine translation: There is no Estonian diplomatic representation or honorary consul in the country.
Reference translation: There is no Estonian diplomatic mission or honorary consul in the country .

Score:[/INST]"
4	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Juba mõned islami keemikud teadsid, et mõned metallid muutuvad roostetades raskemaks.
Machine translation: Some Islamic chemists already knew that some metals would become more difficult when they bought.
Reference translation: Some Islamic chemists already knew that some metals would become heavier when they rust .

Score:[/INST]"
5	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Renneri kroonika kohaselt läksid järgnevalt ""kuningad eestlastega edasi ja piirasid Tallinnat kümne tuhande mehega"".
Machine translation: According to the chronics of Renner, 'kings passed on to the Estonians and restricted Tallinn to ten thousand men'.
Reference translation: According to the chronicle of Renner , the kings then "" continued with the Estonians and besieged Tallinn with ten thousand men "" .

Score:[/INST]"
6	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Popperi demarkatsioonikriteerium teaduse ja pseudoteaduse vahel nägi ette, et teooria peab olema falsifitseeritav.
Machine translation: The Popperi démarches criterion between science and pseudo-science stipulated that theory must be homogenised.
Reference translation: Popper 's demarcation criterion between science and pseudo-science stipulated that theory must be falsified .

Score:[/INST]"
7	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Vesi on suhteliselt puhas, kuigi mõnda kohta koguneb muda.
Machine translation: Water is relatively clean, even though some places are gathering sludge.
Reference translation: Water is relatively clean , even though sludge gathers in some places .

Score:[/INST]"
8	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Üldasjade nõukogu tegi viimased ettevalmistused Euroopa Liidu eelarveprojekti suunamiseks Euroopa Ülemkogu kohtumisele.
Machine translation: The General Affairs Council has made the final preparations to direct the draft EU budget to the European Council.
Reference translation: The General Affairs Council has made the final preparations to forward the draft EU budget to the European Council meeting .

Score:[/INST]"
9	"<s>[INST]You are going to evaluate the quality of machine translation given the source, machine translation and reference translation. The followings are examples of scoring translation quality. 

Example 1
Source: 74.	“Ma ilmutasin end kotka kujul teadmiste puu kohal.
Machine translation: 74. I have shown myself above the tree of knowledge in the form of a dog.
Reference translation: 74 . \ t "" I have revealed myself above the tree of knowledge in the form of an eagle . 
Score: 4

Example 2
Source: Siiski on allutatud rusikareeglil ""muretse viletsuse kõrvaldamise, mitte õnne edendamise pärast"" häid külgi.
Machine translation: However, the rule of the rusty is subject to 'concerns about the elimination of destitution, not the promotion of happiness'.
Reference translation: However , the subordinate rule of thumb is to "" worry about eliminating misery , not promoting happiness "" .
Score: 33

Example 3
Source: Nii et võime kohust täita sõltuks kalduvustes, mis loodus juhtus meile andma.
Machine translation: So we can fulfil the obligation by the leanings that nature has given us.
Reference translation: So the ability to fulfil an obligation would depend on the tendencies that nature happened to give us .
Score: 49

Example 4
Source: Lend sümboliseeris fašistliku juhtimise jõudu ning tööstuslikku ja tehnoloogilist edu, mida riik fašistliku juhtimise all saavutas.
Machine translation: It was symbolised by the power of fascist leadership and by the industrial and technological progress achieved by the country under fascist control.
Reference translation: The flight symbolised the power of fascist leadership and the industrial and technological progress achieved by the country under fascist control .
Score: 63

Example 5
Source: Sihtmärgiks valiti Viljandi, ülestõusu peamine keskus.
Machine translation: Viljand, the main centre of uprising, was chosen as a target.
Reference translation: Viljandi , the main centre of uprising , was chosen as a target .
Score: 86

Now score the following translation from Estonian to English with respect to the human reference and examples above on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Source: Mileetose koolkonna filosoofide järgi pärinevad kõik asjad ühest ürgalgest.
Machine translation: According to the philosophers in Mileetos School, all the things come from one spinary.
Reference translation: According to the philosophers of the Milesian school , all things come from one primordial origin .

Score:[/INST]"
