	final_prompt
0	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: W. P., chairman of the Nepali Congress, who obtained a permit to complete demands from the royal council after a satellite run of 26 and 27.
English human reference: B. P. , the chairman of the Nepali Congress , who obtained a permit to complete demands from the royal council after a Satyagrah run of 26 and 27 .

Score: [/INST]"
1	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: His birthday from later investigations is obtained in South India.
English human reference: From later investigations , this information is obtained that he was born in South India .

Score: [/INST]"
2	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: After two weeks of that equal game, they were rebounded between them, but the game ended as before.
English human reference: Two weeks after that draw , they played again , but the game ended in a draw like the previous game .

Score: [/INST]"
3	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: The modern concept of federalism is considered to have been between 1776 and 1789 in the United States.
English human reference: The modern concept of federalism is considered to have originated in the United States between 1776 and 1789 .

Score: [/INST]"
4	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: But nonprofit taxable assets will be considered a working investment.
English human reference: But keeping non-commercial taxable assets will be considered an investment .

Score: [/INST]"
5	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: Milkwood Hillan costs surgically what moves Nori bombs after bringing a search for her.
English human reference: Dudhkuwa started shaking , bulls started fighting , the king started to order , what is happening , when asked to search and bring Naari Bam Paikalo that he might be somewhere , they searched for Naari Bam and brought him .

Score: [/INST]"
6	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: From there onwards, he took the post ""Minister"".
English human reference: Upon his return , he took the post of "" Minister "" .

Score: [/INST]"
7	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: According to George Grierson Mahoney, the murmys consider themselves one of the oldest inhabitants of Tibet.
English human reference: According to Mr. George Grierson , the Murmis consider themselves one of the oldest inhabitants of Tibet .

Score: [/INST]"
8	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: A new era of mcmen was then introduced.
English human reference: McMahon then ushered in a new era .

Score: [/INST]"
9	"<s>[INST]Score the following translation from Nepali to English with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
English translation: In addition, the people of this land make the contents of animals and docs, namlo, Thuncheon, baskets, Mandro, Chitra, nanlo, etc.
English human reference: In addition to this , people of this race raise livestock as well as make materials from bamboo like Doko , Namlo , Thunchey , Daalo , Mandro , Chitraa , Nanglo , Bhakari etc .

Score: [/INST]"
