	final_prompt
0	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: adîncă pecete pe sufletul viitorului poet, iar opera lui o va mărturisi cu vădită
English translation: hallmark the soul of the future poet and his work will confess him clearly.
Score: [/INST]"
1	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: La 4 iunie 1908, cu ocazia transferului cenușei lui Émile Zola la Panthéon, Alfred Dreyfus a fost victima unui atentat.
English translation: On 4 June 1908, when the ash was transferred to Émile Zola in Panthéon, Alfred Dreyfus was the victim of an attack.
Score: [/INST]"
2	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: ale Slovaciei sunt alcătuite din două brigăzi de infanterie mecanizată active.
English translation: Slovakia is made up of two active mechanised infantry brigades.
Score: [/INST]"
3	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: Divizia 1 aeropurtată britanică a efectuat o debarcare auxiliară pe 9 septembrie la baza navală de la Taranto.
English translation: According to the restructuring plan, the bank has been able to restore its long-term viability and to restore its long-term viability.
Score: [/INST]"
4	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: thumbupright=0.7[[Frédéric Bazille, L'atelier de Bazille, 9, rue la Condamine, Ulei pe pânză, 1870.
English translation: thumbupright = 0.7 [[Frédéric Bazille, L'atelier de Bazille, 9, rue la Condamine, Plain oil, 1870.
Score: [/INST]"
5	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: În aceste combinații financiare erau amestecați și afaceriști evrei.
English translation: In these financial combinations, Jewish businesses were also mixed.
Score: [/INST]"
6	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: thumbuprightSoldați germani ridicând pe [[Acropola din Atena.
English translation: Number of employees employed in the production of the like product in the Union.
Score: [/INST]"
7	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: Milioane de blocuri din piatra au fost finisate, ridicate și cărate cu spinarea pentru construirea părții de sus.
English translation: Millions of blocks in the stone were finished, raised and spined for the construction of the top.
Score: [/INST]"
8	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: Față de anul 1938, sprijinul în rândurile ofițerilor pentru o acțiune în forță scăzuse în mod dramatic.
English translation: As opposed to 1938, support among officers for force action dramatically declined.
Score: [/INST]"
9	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: Mulți cercetători în domeniul inteligenței artificiale încearcă să se distanțeze de aplicațiile militare ale AI.
English translation: Many researchers in the field of artificial intelligence are trying to distance themselves from IA military applications.
Score: [/INST]"
10	"<s>[INST]Score the following translation from Romanian to English by comparing the source and the translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"".
Romanian source: În medie, aveau loc 500 de execuții capitale pe lunǎ.
English translation: On average, 500 capital executions were held on Monday.
Score: [/INST]"
