	final_prompt
0	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Prime Minister Modi conveyed warm greetings on the Jewish New Year and the Jewish festival of Sukkot to Prime Minister Netanyahu and the people of Israel.
Marathi human reference: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या .

Marathi translation: यहुदी नववर्ष आणि सुकोट सणानिमित्त पंतप्रधान मोदी यांनी पंतप्रधान नेतन्याहू आणि इस्रायलच्या जनतेला शुभेच्छा दिल्या.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
1	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: The Prime Minsiter said, yours is a profession where the factor of encountering something unexpected is very high, and you all must be alert and prepared for this.
Marathi human reference: पंतप्रधान म्हणाले , तुमचा व्यवसाय क्षेत्र असे आहे की जिथे अनपेक्षित गोष्टींचा सामना करण्याची शक्यता खूप जास्त आहे आणि यासाठी तुम्ही सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे .

Marathi translation: पंतप्रधान म्हणाले, तुमचा व्यवसाय असा आहे जिथे अनपेक्षित गोष्टींचा सामना करण्याची क्षमता खूप जास्त आहे आणि यासाठी आपण सर्वांनी सतर्क आणि सज्ज राहिले पाहिजे.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
2	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Since 1534 the islands had been a part of the Portuguese territory.
Marathi human reference: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती .

Marathi translation: १५३४ पासून ही बेटे पोर्तुगीज क्षेत्राचा भाग होती.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
3	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: The main reading room is in the new building, first floor for books and journals and second floor for manuscripts.
Marathi human reference: मुख्य वाचनालय नवीन इमारतीत असून , पहिला मजला पुस्तके आणि नियतकालिके यांच्यासाठी आणि दुसरा मजला हा हस्तलिखितांसाठी आहे .

Marathi translation: मुख्य वाचनालय नवीन इमारतीत, पहिल्या मजल्यावर पुस्तके आणि नियतकालिके आणि हस्तलिखितांसाठी आहे.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
4	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Under the patronage of Kings and rulers, skilled artisans and entertainers were encouraged to specialize and to refine their skills to greater levels of perfection and sophistication.
Marathi human reference: राजा आणि शासकांच्या प्रोत्साहनाखाली , कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले .

Marathi translation: राजा आणि शासकांच्या प्रोत्साहनाखाली, कुशल कारागीर आणि मनोरंजनकर्त्यांना त्यांची कौशल्ये परिपूर्णता आणि आधुनिकतेच्या उच्च स्तरापर्यंत विशेषीकृत करण्यासाठी आणि सुशोभित करण्यासाठी प्रोत्साहित केले गेले.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
5	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Babies are more likely to have congenital heart block if they're born with a heart defect, or if their mother has an autoimmune condition, such as lupus.
Marathi human reference: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल , जसेकी ल्युपस .

Marathi translation: मुलांमध्ये जन्मजात हृदयविकार होण्याची शक्यता जास्त असते जर त्यांना हृदयविकार असेल किंवा त्यांच्या आईला स्वप्रतिकारशक्ती असेल, जसे की ल्युपस.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
6	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Flanking the God are images of his consorts Rajni and Niksubha, wearing dhotis and boots.
Marathi human reference: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या बाजूला आहेत , ज्यांनी धोती आणि बूट घातले आहेत .

Marathi translation: त्यांच्या पत्नी रजनी आणि निकुभा यांच्या मूर्ती भगवंताच्या समोर आहेत, ज्यांनी धोती आणि बूट घातले आहेत.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
7	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: If students see the skilled professionals then there will be a kind of emotional connection, they will understand the skills and respect them.
Marathi human reference: जर विद्यार्थ्यांना कुशल व्यावसायिकांना बघता आले तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल , ते कौशल्य आत्मसात करतील आणि त्यांचा आदर करतील .

Marathi translation: जर विद्यार्थी कुशल व्यावसायिकांना पाहत असतील तर त्यांच्यामध्ये एक प्रकारचे भावनिक नाते निर्माण होईल, ते कौशल्य समजून घेतील आणि त्यांचा आदर करतील.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
8	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Do not take any other medicines to treat the side effects of oxycodone without speaking to a pharmacist or doctor first.
Marathi human reference: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका .

Marathi translation: ऑक्सिकोडोनच्या दुष्परिणामांवर औषध विक्रेत्यांशी किंवा डॉक्टरांशी चर्चा केल्याशिवाय दुसरे कोणतेही औषध घेऊ नका.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
9	"GPT4 Correct User: Score the following translation from English to Marathi with respect to the human reference on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability and score of one hundred means ""perfect meaning and grammar"" in terms of accuracy, contextual understanding, grammar, syntax, overall readability.
English source: Raunza is a percussion instrument made of wood, leather, and cloth.
Marathi human reference: रौन्झा हे लाकूड , चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे .

Marathi translation: रॉन्झा हे लाकूड, चामडे आणि कापडापासून बनवलेले एक तालवाद्य आहे.
Score: 
<|end_of_turn|>GPT4 Correct Assistant:"
