	final_prompt
0	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: २६ र २७ गते दुर्इदिनसम्म सत्याग्रह चलेपछि राजकीय परिषदबाट मागहरू पूरा गरिदिने स्वीकृति प्राप्त भएकाले नेपाली कांग्रेसका अध्यक्ष वी.पी.
English translation: W. P., chairman of the Nepali Congress, who obtained a permit to complete demands from the royal council after a satellite run of 26 and 27.
Error words: W., chairman, satellite
Score: |im_end|>
<|im_start|>assistant
"
1	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: पछि गरिएका अनुसन्धानहरुबाट उनको जन्म दक्षिण भारतमा भएको जानकारी प्राप्त हुन्छ ।
English translation: His birthday from later investigations is obtained in South India.
Error words: His, birthday, from, is, in
Score: |im_end|>
<|im_start|>assistant
"
2	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यस बराबरी खेलको दुई हप्तापछि उनीहरू बीच पुन खेल भयो तर खेल पहिलाको जस्तै बराबरीमा समाप्त भएको थियो।
English translation: After two weeks of that equal game, they were rebounded between them, but the game ended as before.
Error words: After, two, of, equal, game, were, rebounded, between, them, as, before
Score: |im_end|>
<|im_start|>assistant
"
3	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: सङ्घीयताको आधुनिक अवधारणा संयुक्त राज्य अमेरिकामा सन् १७७६ देखि १७८९ बीचमा भएको मानिन्छ।
English translation: The modern concept of federalism is considered to have been between 1776 and 1789 in the United States.
Error words: been, between, 1776, and, 1789, in, the, United, States
Score: |im_end|>
<|im_start|>assistant
"
4	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: तर गैर व्यवसायिक करयोग्य सम्पत्ति राख्ने कार्य लगानी मानिने छ ।
English translation: But nonprofit taxable assets will be considered a working investment.
Error words: nonprofit, a, working
Score: |im_end|>
<|im_start|>assistant
"
5	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: दुधकुवा हिल्लन लाग्या साँण जुधन लाग्या सरग गड्कन लाग्यो के के चालो भयो नरी बम पैकालो कही छकी खोजेर ल्याउ भनेपछि नरी बमलाई खोजेर ल्याए ।
English translation: Milkwood Hillan costs surgically what moves Nori bombs after bringing a search for her.
Error words: Milkwood, Hillan, costs, surgically, moves, Nori, bombs, after, bringing, a, for, her, ., <EOS>
Score: |im_end|>
<|im_start|>assistant
"
6	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यहाँबाट र्फकने वित्तिकै उनले ""मिनिष्टर"" पदवी लिए ।
English translation: From there onwards, he took the post ""Minister"".
Error words: From, there, onwards, ""
Score: |im_end|>
<|im_start|>assistant
"
7	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: जर्ज ग्रियर्सन महोदयका अनुसार मुर्मीहरु आफूलाई तिब्बतका पुराना बासिन्दामध्ये एक मान्दछन् ।
English translation: According to George Grierson Mahoney, the murmys consider themselves one of the oldest inhabitants of Tibet.
Error words: George, Mahoney, murmys
Score: |im_end|>
<|im_start|>assistant
"
8	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: त्यसपछि म्याकमेनको एक नयाँ युगको सुरुवात गरेका थिए ।
English translation: A new era of mcmen was then introduced.
Error words: A, new, era, of, mcmen, was, then, introduced
Score: |im_end|>
<|im_start|>assistant
"
9	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: यसका अतिरिक्त यस जातिका मानिसहरू पशुपालन तथा डोको, नाम्लो, थुन्चे, डालो, मान्द्रो, चित्रा, नाङ्लो, भकारी आदि वेतबाँसका सामग्रीहरू बनाउने गर्दछन ।
English translation: In addition, the people of this land make the contents of animals and docs, namlo, Thuncheon, baskets, Mandro, Chitra, nanlo, etc.
Error words: ,, the, land, make, the, contents, of, animals, and, docs, namlo, Thuncheon, baskets, Chitra, nanlo, etc
Score: |im_end|>
<|im_start|>assistant
"
10	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: धार्मिक दृष्टिले यी चार महिना भगवान विष्णुको निद्रा काल मानिन्छ।
English translation: The religious scene consists of a sleeping couple of these four months goddesses.
Error words: The, scene, consists, of, a, sleeping, couple, of, these, four, months, goddesses
Score: |im_end|>
<|im_start|>assistant
"
11	"<|im_start|>user
Score the following translation from Nepali to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Nepali source: दसैंका बेलामा आफूमा निहित ती शक्तिलाई प्रकट गरेर अभीष्ट पूरा गर्ने मनसायले प्रेरित भै मानिसहरूले अनेकौं साधना गर्छन।
English translation: During the teenage years, the mind of the apocalypse reveals the power of the apocalypse by revealing the power of the apocalypse.
Error words: the, teenage, years, ,, the, mind, of, the, apocalypse, reveals, the, of, apocalypse, by, revealing, the, power, of, the, apocalypse
Score: |im_end|>
<|im_start|>assistant
"
