	final_prompt
0	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: හැම දැයෙහි මිදුණා වූ කසුප් බුදුරජුනට නමස්කාර වේ වා.
English translation: Every frost is named for the Ksupp Buddha.
Error words: Every, frost, is, named, for, the, Ksupp, Buddha
Score: |im_end|>
<|im_start|>assistant
"
1	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: උදාහරණයක් වශයෙන් කුඩා ළමයා තම ලිංගය ස්පර්ශ කිරීමට කැමතිය.
English translation: For example, the little kid likes to touch his dick.
Error words: the, little, kid, dick
Score: |im_end|>
<|im_start|>assistant
"
2	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: මේ ආකාරයෙන් දේශනාකරන ලද්දා වූ බුද්ධ ධර්මය මෙනෙහි කොට ඇත්ත වශයෙන්ම පින්රැස්කර නිර්වානයට පැමිණෙන්න.""
English translation: In this way lectured intelligence on the menace, originally to come to pinnacle determination.""
Error words: In, this, way, lectured, intelligence, on, the, menace, ,, originally, come, to, pinnacle, determination
Score: |im_end|>
<|im_start|>assistant
"
3	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: 494දී එහි ශේෂයන් ගොගුර්යෝව විසින් අවශෝෂණය කරගන්නා ලදී.
English translation: In 494 its balance was absorbed by goguryeo.
Error words: balance, was, goguryeo
Score: |im_end|>
<|im_start|>assistant
"
4	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: මෙහි දී කන්පෙත්තේ වූ මාංසලමය සිදුරට විශාල පේනු ආකාර ආභරණ පැළඳීම සිදුකරයි.
English translation: In the ears here, the mansion hole is made of large penetrating jewelry.
Error words: In, the, ears, here, ,, the, mansion, hole, is, made, of, large, penetrating, jewelry
Score: |im_end|>
<|im_start|>assistant
"
5	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: රාජකීය යි නිවස සමග අන්තර්විවාහ සම්බන්ධතා පැවැත්වීම මගින් අන්දොං කිම් වංශය සිය බලය තර කොටගෙන තිබිණි.
English translation: By contrast with the royal yi house, the Andong Kim clan had contested hundreds of power.
Error words: By, contrast, with, the, royal, yi, house, ,, the, Andong, Kim, clan, had, contested, hundreds, of, power
Score: |im_end|>
<|im_start|>assistant
"
6	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: එසේම වෙනත් කාර්යාලවල නිලධාරීන් 36දෙනකුද මෙම ආයතනය ගෙනයාමට දායක වූහ.
English translation: Also 36 offices in other offices contributed to this institution's move.
Error words: 36, offices, in, this, institution, 's, move
Score: |im_end|>
<|im_start|>assistant
"
7	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: කාවන්තිස්ස සහ සද්ධාතිස්ස යන රජවරුන්ගේ දියණිවරු පැවිදි වී සිටියහ.
English translation: The daughters of the kings of karthik and siddhartha were executed.
Error words: the, of, karthik, siddhartha, executed
Score: |im_end|>
<|im_start|>assistant
"
8	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: එහි පරාජය කෙරුණු සතුරන්ගේ රූ සහිත දර්ශනවලින් අලංකාර කර ඇත.
English translation: Its defeated enemy is portrayed with ruined scenes.
Error words: Its, defeated, enemy, is, portrayed, with, ruined, scenes
Score: |im_end|>
<|im_start|>assistant
"
9	"<|im_start|>user
Score the following translation from Sinhala to English by comparing the source and the translation and considering the error words in translation on a continuous scale from 0 to 100, where score of zero means ""no meaning preserved"" and score of one hundred means ""perfect meaning and grammar"". 
Sinhala source: එමෙන්ම ශරීරයේ අනික් තැනකට වඩා මුහුණ ඉදිමෙන්නට පටන් ගනි.
English translation: And the facade begins to be more than the rest of the body.
Error words: And, facade, be, the, rest
Score: |im_end|>
<|im_start|>assistant
"
