src	mt	ref	tags	mt4word	score	z_score	error_words
The Black Crusade, Richard Harland Less than Human, Maxine McArthur The Crooked Letter, Sean Williams	The Black Crusade, Richard Harland Weniger als Mensch, Maxine McArthur Der krumme Brief, Sean Williams	"The Black Crusade , Richard Harland Weniger als Mensch , Maxine McArthur Der krumme Brief , Sean Williams
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	The Black Crusade , Richard Harland Weniger als Mensch , Maxine McArthur Der krumme Brief , Sean Williams <EOS>	72.0	-1.630414047807471	
The militiamen killed two of the Seminoles and recaptured the slaves and mules taken from Dr. Braden's plantation.	Die Milizionäre töteten zwei der Seminare und eroberten die Sklaven und Maultiere aus der Plantage von Dr. Braden.	"Die Milizionäre töteten zwei der Seminolen und erbeuteten die Sklaven und Maultiere aus der Plantage von Dr. Braden zurück .
"	OK OK OK OK OK BAD OK BAD OK OK OK OK OK OK OK OK OK OK BAD OK	Die Milizionäre töteten zwei der Seminare und eroberten die Sklaven und Maultiere aus der Plantage von Dr. Braden . <EOS>	95.66666666666669	0.2291935137986674	Seminare, eroberten, .
Instead, after witnessing Prussian army maneuvers in Silesia in 1784, he pushed for drilled battalions of heavy infantry.	Stattdessen drängte er, nachdem er 1784 preußische Militärmanöver in Schlesien erlebt hatte, auf gebohrte Bataillone schwerer Infanterie.	"Stattdessen drängte er , nachdem er 1784 preußische Militärmanöver in Schlesien erlebt hatte , auf gründlich ausgebildete Bataillone schwerer Infanterie .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK	Stattdessen drängte er , nachdem er 1784 preußische Militärmanöver in Schlesien erlebt hatte , auf gebohrte Bataillone schwerer Infanterie . <EOS>	90.33333333333331	0.2706050310911634	gebohrte
Cuman groups assisted the rebelling Bulgarians and Vlachs against the Byzantines between 1186 and 1197.	Cuman Gruppen unterstützten die rebellischen Bulgaren und Vlachen gegen die Byzantiner zwischen 1186 und 1197.	"Cuman-Gruppen unterstützten die rebellischen Bulgaren und Vlachen gegen die Byzantiner zwischen 1186 und 1197 .
"	BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	Cuman Gruppen unterstützten die rebellischen Bulgaren und Vlachen gegen die Byzantiner zwischen 1186 und 1197 . <EOS>	86.0	0.0069189110127179	Cuman, Gruppen
There was a druggist, two auctioneers, five retailers, four liquor stores, a notary, an attorney, a jeweller, and a watchmaker.	Es gab einen Apotheker, zwei Auktionatoren, fünf Einzelhändler, vier Spirituosenläden, einen Notar, einen Anwalt, einen Juwelier und einen Uhrmacher.	"Es gab einen Apotheker , zwei Auktionatoren , fünf Einzelhändler , vier Spirituosenläden , einen Notar , einen Anwalt , einen Juwelier und einen Uhrmacher .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	Es gab einen Apotheker , zwei Auktionatoren , fünf Einzelhändler , vier Spirituosenläden , einen Notar , einen Anwalt , einen Juwelier und einen Uhrmacher . <EOS>	91.0	0.0657922068318943	
Poet Mikhail Lermontov romanticized the battle in his poem Borodino.	Der Dichter Mikhail Lermontov romantisierte die Schlacht in seinem Gedicht Borodino.	"Der Dichter Mikhail Lermontov romantisierte die Schlacht in seinem Gedicht Borodino .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK	Der Dichter Mikhail Lermontov romantisierte die Schlacht in seinem Gedicht Borodino . <EOS>	91.33333333333331	0.4699996705335216	
On July 22, 2016, during an interview with Ebro in the Morning on Hot 97, T.I.	Am 22. Juli 2016, während eines Interviews mit Ebro in the Morning on Hot 97, T.I.	"Am 22. Juli 2016 , während eines Interviews mit Ebro am Morgen auf Hot 97 , T. I .
"	OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK OK BAD OK OK	Am 22. Juli 2016 , während eines Interviews mit Ebro in the Morning on Hot 97 , T.I . <EOS>	100.0	0.5490141552904629	in, the, Morning, on, T.I
Captain Jones dispatched his executive officer, Lt. Silverthorn and Lt. Corey with two platoons to investigate.	Captain Jones entsandte seinen Offizier, Lt. Silverthorn und Lt. Corey, mit zwei Blutplättchen, um zu untersuchen.	"Captain Jones entsandte seinen Offizier Lt. Silverthorn und Lt. Corey , mit zwei Einheiten , um Nachforschungen anzustellen .
"	OK OK OK OK OK BAD OK OK OK OK OK OK OK OK BAD OK OK BAD BAD OK OK	Captain Jones entsandte seinen Offizier , Lt. Silverthorn und Lt. Corey , mit zwei Blutplättchen , um zu untersuchen . <EOS>	49.0	-2.828503135409387	,, Blutplättchen, zu, untersuchen
Cygnus Wing's manga personality exhibits a mixture of effeminate mannerisms and slight sadism.	Cygnus Wings Manga-Persönlichkeit weist eine Mischung aus effeminierten Manieren und leichtem Sadismus auf.	"Cygnus Wings Manga-Persönlichkeit weist eine Mischung aus effeminierten Manieren und leichtem Sadismus auf .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	Cygnus Wings Manga-Persönlichkeit weist eine Mischung aus effeminierten Manieren und leichtem Sadismus auf . <EOS>	96.0	0.6269217020207595	
In 1998, Sweden formally apologized for the wrongs committed against the Sami.	1998 entschuldigte sich Schweden offiziell für das Unrecht, das gegen die Sami begangen wurde.	"1998 entschuldigte sich Schweden offiziell für das Unrecht , das gegen die Sami begangen wurde .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	1998 entschuldigte sich Schweden offiziell für das Unrecht , das gegen die Sami begangen wurde . <EOS>	86.33333333333333	0.128755269753784	
