src	mt	ref	tags	mt4word	score	z_score	error_words
Charles Darwin lahutas bioloogia filosoofiast ja teoloogiast.	Charles Darwin separated biology from philosophy and theology.	"Charles Darwin separated biology from philosophy and theology .
"	OK OK OK OK OK OK OK OK OK OK	Charles Darwin separated biology from philosophy and theology . <EOS>	95.66666666666669	0.9608120111996392	
Ta on ka kõrgeim täidesaatva võimu kandja, kuid jagab seda võimu peaministriga.	It is also the highest executive power, but it shares this power with the Prime Minister.	"It is also the highest executive power , but it shares this power with the Prime Minister .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	It is also the highest executive power , but it shares this power with the Prime Minister . <EOS>	65.5	0.2321179454045225	
Saagad pajatavad eestlaste kontaktidest viikingitega Rootsist, Taanist, Norrast ja isegi Islandilt.	Saagad is twisted by contacts between Estonians with determination from Sweden, Denmark, Norway and even from Iceland.	"Sagas talk about contacts between Estonians and vikings from Sweden , Denmark , Norway and even from Iceland .
"	BAD BAD BAD BAD OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK	Saagad is twisted by contacts between Estonians with determination from Sweden , Denmark , Norway and even from Iceland . <EOS>	82.66666666666667	0.5605122164125532	Saagad, is, twisted, by, with, determination
Maal elatakse aga ikka veel traditsioonilisel isemajandaval viisil.	However, the land is still living in a traditional self-sufficiency manner.	"However , one still lives in a traditional self-sufficient way in the countryside .
"	OK OK BAD BAD BAD OK BAD OK OK OK BAD BAD OK OK	However , the land is still living in a traditional self-sufficiency manner . <EOS>	38.66666666666666	-1.0710106799212091	the, land, is, living, self-sufficiency, manner
Eestis valis taasriigistatud Eesti Raudtee nõukogu firma uueks juhatuse esimeheks ettevõtte senise infrastruktuuridirektori Kaido Simmermanni.	In Estonia, Kaido Simmermann, the new head of the board of the re-nationalised Estonian Railway company, was re-elected by the current infrastructure manager.	"In Estonia , the supervisory board of the re-nationalised Estonian Railway company , elected Kaido Simmermann , the current Director of Infrastructure , as the new Chairman of the management board .
"	OK OK BAD BAD BAD OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK BAD BAD BAD OK OK BAD BAD OK OK	In Estonia , Kaido Simmermann , the new head of the board of the re-nationalised Estonian Railway company , was re-elected by the current infrastructure manager . <EOS>	75.66666666666667	0.3070204103829217	,, Kaido, Simmermann, new, head, of, the, was, re-elected, by, infrastructure, manager
Tuleb vaadata asjade seisude ja tegude vahelisi suhteid.	The relationship between the state of affairs and actions must be looked at.	"The relationship between the state of affairs and actions must be looked at .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK	The relationship between the state of affairs and actions must be looked at . <EOS>	97.0	0.9685348986401872	
Lõppkokkuvõttes on sõbra puhul vähem tõenäoline, et jõutakse järeldusele, et tema käitumine oli autu või et ta on halb inimene.	Ultimately, a friend is less likely to come to the conclusion that he was dishonourable or that he was a bad person.	"Ultimately , it is less likely in case of a friend that we come to the conclusion that his behaviour was dishonourable or that he is a bad person .
"	OK OK BAD BAD OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK BAD OK OK OK OK OK	Ultimately , a friend is less likely to come to the conclusion that he was dishonourable or that he was a bad person . <EOS>	92.66666666666669	0.9515887570347182	a, friend, to, he, was
Pronksiajal võeti kasutusele pronksist tööriistad, ent käepidemed valmistati ikka puidust.	Bronking tools were introduced during the long term, but handholds were still made up of wood.	"Bronze tools were introduced during the Bronze Age , but handles were still made of wood .
"	BAD OK OK OK OK OK BAD BAD OK OK BAD OK OK OK BAD OK OK OK OK	Bronking tools were introduced during the long term , but handholds were still made up of wood . <EOS>	58.5	0.0146066851550057	Bronking, long, term, handholds, up
Mõned kohad olid suurema sära saavutamiseks kaetud kuldlehega.	Some of the seats were covered by the golden leaf in order to achieve greater noise.	"Some of the seats were covered with a golden leaf in order to achieve greater splendour .
"	OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK BAD OK OK	Some of the seats were covered by the golden leaf in order to achieve greater noise . <EOS>	46.66666666666666	-0.4061822176897965	by, the, noise
Rõõmu tuntakse suuresti argumentide lõhkumisest, rääkimata dekonstrueerimisest.	There is a great deal of joy at the dismantling of arguments, not to mention reconstruction.	"There is a great deal of joy at the dismantling of arguments , not to mention deconstruction .
"	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK	There is a great deal of joy at the dismantling of arguments , not to mention reconstruction . <EOS>	92.0	0.8006989591083409	reconstruction
