src	mt	ref	tags	mt4word	score	z_score	error_words
A cheltuit banii personali pentru a iniția săpăturile arheologice.	He has spent personal money to initiate archaeological diggers.	"He spent his own money to initiate the archaeological excavations .
"	OK BAD BAD BAD OK OK OK BAD BAD OK OK	He has spent personal money to initiate archaeological diggers . <EOS>	97.66666666666669	1.0984188150703516	has, spent, personal, archaeological, diggers
El a mai publicat la „Clusium” „''Cireșe amare”'' și are sub tipar la „Dacia” volumul „Pasărea Ibis și Agresorul”.	one month after one month, one or more of which is one, one or more of which is one, one, one, one, one, one, one, one, one, one, one, one, one, and one, one, one.	"He also published in "" Clusium "" "" Bitter Cherries "" and has under print in "" Dacia "" the volume "" Ibis Bird and the Aggressor "" .
"	BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD OK OK	one month after one month , one or more of which is one , one or more of which is one , one , one , one , one , one , one , one , one , one , one , one , one , and one , one , one . <EOS>	11.0	-2.102309839180031	one, month, after, one, month, ,, one, or, more, of, which, is, one, ,, one, or, more, of, which, is, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one, ,, one
Doar 3e DLM avea în dotare 90 tancuri S35 și 140 H35s.	Only 3e DLM had 90 tanks S35 and 140 H35s in place.	"Only the 3e DLM had 90 S35 tanks and 140 H35s .
"	OK BAD OK OK OK BAD BAD OK OK OK BAD BAD OK OK	Only 3e DLM had 90 tanks S35 and 140 H35s in place . <EOS>	95.0	0.8399702099421656	3e, tanks, S35, in, place
Michael Berenbaum scrie că estimările cercetătorilor se află între 90 000 și 220 000.	Michael Berenbaum writes that researchers' estimates are between 90 000 and 220 000.	"Michael Berenbaum writes that researchers ' estimates are between 90,000 and 220,000 .
"	OK OK OK OK OK OK OK OK OK BAD BAD OK BAD BAD OK OK	Michael Berenbaum writes that researchers ' estimates are between 90 000 and 220 000 . <EOS>	100.0	1.0780404039519966	90, 000, 220, 000
Galland a recunoscut că Luftwaffe pierdea răboiul de uzură și a cerut concentrarea mai degrabă pe calitate decât pe cantitate.	Galland acknowledged that Luftwaffe was losing injury and asked for a focus on quality rather than quantity.	"Galland recognized the Luftwaffe was losing the attrition war and pushed for a focus on quality rather than quantity .
"	OK BAD BAD OK OK OK BAD OK BAD OK OK OK OK OK OK OK OK OK OK	Galland acknowledged that Luftwaffe was losing injury and asked for a focus on quality rather than quantity . <EOS>	65.33333333333333	-0.0888748940492661	acknowledged, that, injury, asked
Franz Halder, noul șef al Marelui Stat Major a rămas în legătură cu Beck și cu Oster.	Franz Halder, the new Chief of Staff remained related to Beck and Oster.	"Franz Halder , the new Chief Of The Great State kept contact with Beck and Oster .
"	OK OK OK OK OK OK BAD BAD BAD BAD BAD OK OK OK OK OK	Franz Halder , the new Chief of Staff remained related to Beck and Oster . <EOS>	58.66666666666666	-0.3080067906905756	of, Staff, remained, related, to
Restul capitolelor sunt așadar variațiuni ale temei inițiale sau simple adnotări la aceasta.	The rest of the chapters are, therefore, variations in the original basis or simply annotations to it.	"The rest of the chapters are therefore variations of the original theme or simple annotations to it .
"	OK OK OK OK OK OK BAD OK BAD OK BAD OK OK BAD OK BAD OK OK OK OK OK	The rest of the chapters are , therefore , variations in the original basis or simply annotations to it . <EOS>	75.0	0.2653560054447327	,, ,, in, basis, simply
Se conturează categoria cavalerilor, războinici cărora biserica le impune un ideal însuflețit de etică religioasă.	The caval category is taking shape, wars to which the church imposes an ideal breathed by religious ethics.	"The category of knights is outlined , warriors to whom the church imposes an ideal inspired by religious ethics .
"	OK BAD BAD BAD BAD BAD OK BAD OK BAD OK OK OK OK OK BAD OK OK OK OK OK	The caval category is taking shape , wars to which the church imposes an ideal breathed by religious ethics . <EOS>	21.666666666666668	-1.5554652609611297	caval, category, is, taking, shape, wars, which, breathed
În mijlocul drapelului se afla stema cea mică a țării, sub care era plasată crucea ordinului „Mihai Viteazul”.	This is because, at the end of 2016, there was a serious threat to the security of the Union's citizens.	"In the middle of the flag was the small coat of arms of the country , under which was placed the cross of the order "" Michael the Brave "" .
"	BAD BAD BAD BAD BAD OK BAD OK BAD OK BAD OK BAD BAD BAD BAD OK BAD BAD BAD BAD BAD BAD OK OK	This is because , at the end of 2016 , there was a serious threat to the security of the Union 's citizens . <EOS>	2.0	-2.4049627089220773	This, is, because, ,, at, end, 2016, there, a, serious, threat, to, security, of, the, Union, 's, citizens
Legislația ce incrimina homosexualitatea a fost abrogată în 1993.	Legislation criminalising homosexuality was repealed in 1993.	"Legislation criminalising homosexuality was repealed in 1993 .
"	OK OK OK OK OK OK OK OK OK	Legislation criminalising homosexuality was repealed in 1993 . <EOS>	91.66666666666669	0.8763397435700543	
