src	mt	ref	tags	mt4word	score	z_score	error_words
දකුණු කර්ණිකාව සහ දකුණු කෝෂිකාව එක්ව ඇතැම් අවස්ථාවල දකුණු හෘදය ලෙස හඳුන්වනු ලබයි.	The Southern Karma and southern cosica are sometimes identified as the southern heart.	"The right atrium and right ventricle together are sometimes referred to as the right heart .
"	OK BAD BAD OK BAD BAD OK OK BAD OK OK BAD OK OK OK	The Southern Karma and southern cosica are sometimes identified as the southern heart . <EOS>	11.666666666666666	-1.2546474579809122	Southern, Karma, southern, cosica, identified, southern
බකමූණන්ගේ හොටයන් සහ සිංහයකුගේ වලිගයක් ද නැතිවී ඇත.	The owl's beaks and a lion's tail have also been lost.	"The beak of an owl and the tail of a lion are also missing .
"	OK BAD BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK	The owl 's beaks and a lion 's tail have also been lost . <EOS>	98.0	1.5598071120871215	owl, 's, beaks, a, lion, 's, tail, have, also, been, lost
පියවි ඇසට නොපෙණෙන වායුවක් බවටද, මිනිසුන් ඇතුළු විවිධ ජීවින්ගේ රූපයෙන් පිළිබිඹු වන්නට දක්ෂ වන අතර, මිනිසුන්ට පෙරම මෙම වර්ගයා උත්පාදනය කරනු ලැබූහ.	To be a gas that is not visible to the pharyngeal eye, the image of a variety of species including humans is good to be imagined, and people have previously populated this species.	"It is also a gas that is invisible to the naked eye , and is capable of reflecting the image of various organisms , including humans , which is created before human .
"	BAD BAD OK OK OK OK BAD BAD OK OK BAD OK OK BAD BAD BAD BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK	To be a gas that is not visible to the pharyngeal eye , the image of a variety of species including humans is good to be imagined , and people have previously populated this species . <EOS>	23.0	-0.8337405714037859	To, be, not, visible, pharyngeal, the, image, of, a, variety, species, including, humans, is, good, to, be, imagined, ,, and, people, have, previously, populated, this, species
නමුත් ඔහුගේ ඉදිරි පරම්පරාවලට උරුමවීමේ වැඩිදුර හැකියාව පිළිබඳ සොයා බැලේ.	But his further ability to inherit the next generation has been discovered.	"But explores further possibilities for his future generations to inherit .
"	OK BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK	But his further ability to inherit the next generation has been discovered . <EOS>	35.333333333333336	-0.4063811791230503	his, ability, to, inherit, the, next, generation, has, been, discovered
මී මැසි උප විශේෂ හෝ එක් එක් වර්ගයාට ඔවුන්ටම ආවේනික එංචු වශයෙන් ඉවත් වී යාමේ ගති සිරිත් තිබේ.	The bee subspecies or each species has their own customs of being eliminated.	"The bee subspecies or each species has their own customs of being exiled .
"	OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK	The bee subspecies or each species has their own customs of being eliminated . <EOS>	94.66666666666669	1.3053911519009265	eliminated
ගුං යේ, ගි හ්වොන්, යැං ගිල්, සහ ග්යොන් හ්වොන් යන අය මේ සඳහා මූලිකත්වය ගත්හ.	Guang Ye, Gi Hwon, Yang Gil, and gyeon hwon are the primary sources for this.	"Gun Yeh , Gi Hwon , Yang Gil , and Gyeong Hwon took the lead .
"	BAD BAD OK OK OK OK OK OK OK OK BAD BAD BAD OK BAD BAD BAD BAD OK OK	Guang Ye , Gi Hwon , Yang Gil , and gyeon hwon are the primary sources for this . <EOS>	65.66666666666667	0.4876329578920331	Guang, Ye, gyeon, hwon, are, primary, sources, for, this
කාර්ගීල්ස් ආයතනයේ කර්යක්ෂදම තාවය ඉහළ මට්ටමකින් පවත්වාගෙන යයි.	Cargills Institute's curriculum is maintained at a higher level.	"Cargills maintains a high level of efficiency .
"	OK BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK	Cargills Institute 's curriculum is maintained at a higher level . <EOS>	58.0	0.0697185580378835	Institute, 's, curriculum, is, maintained, at, a, higher, level
එම නිරීක්ෂණ තොරතුරු මත පදනම්ව අනතුරු සඳහා රියදුරුගේ නැඹුරුතාවයක් තිබේ දැයි තක්සේරු කර ඒ අනුව රක්ෂණ වාරිකය සකස් කරනු ලැබේ.	Assessed that the driver's tendency for accidents based on those observation information will be set by the insurance varying accordingly.	"Based on that observation information , the driver 's predisposition to accidents is assessed and the insurance premium is adjusted accordingly .
"	BAD OK BAD OK OK BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK OK	Assessed that the driver 's tendency for accidents based on those observation information will be set by the insurance varying accordingly . <EOS>	88.66666666666667	1.044365144276671	Assessed, the, tendency, for, based, on, those, observation, information, will, be, set, by, the, insurance, varying
විශේෂයෙන්ම පහතරට තෙත් කලාපය සම්බන්ධ වූ ගැමි ගොවියා දේශපාලනය හා සම්බන්ධ වූයේ කෙසේද?	Especially how the gambian farmer was involved in politics in the lower wet zone?	"How did the peasantry , especially in the lowland wetlands , get involved in politics ?
"	BAD BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK	Especially how the gambian farmer was involved in politics in the lower wet zone ? <EOS>	14.666666666666666	-1.2626929647263383	Especially, how, gambian, farmer, was, involved, in, politics, in, the, lower, wet, zone
මීඨ සමානව, වමර් කර්ණිකාව සහ වම් කෝසිකාව එක්ව ඇතැම් අවස්ථාවල වම් හෘදය ලෙස හඳුන්වනු ලබයි.	Similarly, the wammer kernel and the left cosica are sometimes identified as the left heart.	"Similarly , the left atrium and left ventricle together are sometimes referred to as the left heart .
"	OK OK OK BAD BAD OK BAD BAD BAD OK OK BAD OK OK OK OK OK OK	Similarly , the wammer kernel and the left cosica are sometimes identified as the left heart . <EOS>	9.666666666666666	-1.1133570908905954	wammer, kernel, the, left, cosica, identified
අක්නාටන්ව නිරූපිත කැටයම්වල ඔහුව විරූපී, නපුංසක ස්වභාවයෙන් නිරූපණය කොට තිබීම මතභේදයට තුඩු දී ඇත.	Akhnaaton is disillusioned with modest catastrophes, when he is repulsed by the eunuch nature of the controversy.	"Controversy has arisen over the depiction of Aknatan in a distorted , eunuch manner .
"	BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK BAD BAD BAD BAD OK OK	Akhnaaton is disillusioned with modest catastrophes , when he is repulsed by the eunuch nature of the controversy . <EOS>	24.0	-1.1404266868131738	Akhnaaton, is, disillusioned, with, modest, catastrophes, ,, when, he, is, repulsed, by, the, nature, of, the, controversy
2008 ජනවාරි මස විවාපත් වූ මේජර් ලලිත් ජයසිංහ 2008 නොවැම්බර් 26 දින මාතෘභූමියට තම දිවි පුදකරන විට, සදාදර බිරිඳ පස්මස් ගැබිණියකි.	January 2008 debuted major Lily on November 26, 2008, when maternity received his surviving wife, Sadie.	"When Major Lalith Jayasinghe passed away in January 2008 and laid down his life for the motherland on November 26 , 2008 , his beloved wife was five months pregnant .
"	BAD OK BAD BAD BAD OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD BAD OK OK	January 2008 debuted major Lily on November 26 , 2008 , when maternity received his surviving wife , Sadie . <EOS>	1.0	-1.7048440313128272	January, debuted, major, Lily, when, maternity, received, his, surviving, wife, ,, Sadie
කොටින්ම ඔහු එය සිය මිනී වලේ සමරු ඵලකයේද කොටවන ලදී.	In particular, he made it in the autobiographical tablet of hundreds of corpses.	"In short , he engraved it on the memorial plaque in his grave .
"	OK BAD OK OK BAD OK BAD OK BAD BAD BAD BAD BAD BAD OK OK	In particular , he made it in the autobiographical tablet of hundreds of corpses . <EOS>	37.333333333333336	-0.6011100967450786	particular, made, in, autobiographical, tablet, of, hundreds, of, corpses
තම මරණයෙන් පසුව වහල් සේවකයන් නිදහස් කරන්න යැයි ඉන් ඔහු ඉල්ලා සිටියේය.	He was sent to freed slaves after his death.	"He demanded the release of slaves after his death .
"	OK BAD BAD BAD BAD OK OK OK OK OK OK	He was sent to freed slaves after his death . <EOS>	33.333333333333336	-0.7575554951692496	was, sent, to, freed
